,0
0,中性
1,中性
2,中性
3,中性
4,中性
5,中性
6,中性
7,中性
8,中性
9,中性
10,中性
11,中性
12,中性
13,中性
14,中性
15,中性
16,中性
17,中性
18,中性
19,中性
20,中性
21,中性
22,中性
23,中性
24,中性
25,中性
26,中性
27,中性
28,中性
29,中性
30,中性
31,中性
32,中性
33,中性
34,中性
35,中性
36,中性
37,中性
38,中性
39,中性
40,中性
41,中性
42,中性
43,伤心
44,中性
45,中性
46,中性
47,中性
48,中性
49,中性
50,中性
51,中性
52,中性
53,中性
54,中性
55,中性
56,中性
57,中性
58,中性
59,中性
60,中性
61,中性
62,中性
63,中性
64,中性
65,中性
66,中性
67,中性
68,中性
69,中性
70,中性
71,中性
72,中性
73,中性
74,中性
75,中性
76,中性
77,中性
78,中性
79,中性
80,中性
81,中性
82,中性
83,中性
84,中性
85,中性
86,中性
87,中性
88,中性
89,中性
90,中性
91,中性
92,中性
93,中性
94,中性
95,中性
96,中性
97,中性
98,中性
99,中性
100,中性
101,中性
102,中性
103,中性
104,中性
105,中性
106,中性
107,中性
108,中性
109,中性
110,开心
111,开心
112,伤心
113,伤心
114,开心
115,伤心
116,伤心
117,伤心
118,无
119,无
120,无
121,无
122,无
123,无
124,无
125,无
126,无
127,无
128,无
129,无
130,无
131,无
132,无
133,无
134,无
135,无
136,无
137,无
138,无
139,无
140,无
141,无
142,无
143,无
144,无
145,无
146,无
147,无
148,无
149,无
150,无
151,无
152,无
153,无
154,无
155,无
156,无
157,无
158,无
159,无
160,无
161,无
162,无
163,无
164,无
165,无
166,无
167,无
168,伤心
169,无
170,伤心
171,中性
172,无
173,无
174,无
175,无
176,无
177,伤心
178,无
179,无
180,无
181,开心
182,中性
183,中性
184,中性
185,中性
186,中性
187,中性
188,中性
189,中性
190,中性
191,中性
192,中性
193,中性
194,中性
195,中性
196,中性
197,中性
198,中性
199,中性
200,中性
201,中性
202,中性
203,中性
204,中性
205,中性
206,中性
207,中性
208,中性
209,中性
210,中性
211,中性
212,中性
213,中性
214,中性
215,中性
216,中性
217,中性
218,中性
219,中性
220,中性
221,中性
222,中性
223,中性
224,中性
225,中性
226,中性
227,中性
228,中性
229,中性
230,中性
231,中性
232,中性
233,中性
234,中性
235,中性
236,中性
237,中性
238,中性
239,中性
240,中性
241,中性
242,中性
243,中性
244,中性
245,中性
246,中性
247,中性
248,中性
249,中性
250,中性
251,中性
252,中性
253,中性
254,中性
255,中性
256,中性
257,中性
258,中性
259,中性
260,中性
261,中性
262,中性
263,中性
264,中性
265,中性
266,中性
267,中性
268,中性
269,中性
270,中性
271,中性
272,中性
273,中性
274,中性
275,中性
276,中性
277,中性
278,中性
279,中性
280,中性
281,中性
282,中性
283,中性
284,中性
285,中性
286,中性
287,中性
288,中性
289,中性
290,开心
291,中性
292,开心
293,开心
294,开心
295,开心
296,开心
297,开心
298,开心
299,开心
300,开心
301,开心
302,开心
303,开心
304,开心
305,开心
306,开心
307,开心
308,开心
309,开心
310,开心
311,开心
312,开心
313,开心
314,开心
315,开心
316,开心
317,开心
318,开心
319,开心
320,开心
321,开心
322,开心
323,开心
324,开心
325,开心
326,开心
327,开心
328,开心
329,开心
330,开心
331,开心
332,开心
333,开心
334,开心
335,开心
336,开心
337,开心
338,开心
339,开心
340,惊讶
341,惊讶
342,惊讶
343,惊讶
344,惊讶
